repo,pr_id,pr_url,state,created_at,merged_at,closed_at,author,comments,review_comments,commits,additions,deletions,changed_files,title,body_length,has_security_terms,has_financial_terms,pr_commits,pr_lines_added,pr_lines_removed,pr_files_changed,pr_complexity_changes,test_files_changed,config_files_changed,py_files,java_files,js_files,md_files,touches_security,touches_financial,is_risky,risk_reasons,merge_time_hours,created_year,created_month,created_weekday,created_hour,is_weekend,is_business_hours,time_to_close_hours,pr_age_days,total_lines_changed,lines_per_file,net_lines,add_delete_ratio,relative_pr_size,complexity_per_line,total_comments,comments_per_line,comments_per_file,comments_per_commit,has_intense_discussion,title_length,title_word_count,title_has_feature,title_has_fix,title_has_refactor,body_code_ratio,body_size_category,py_files_ratio,java_files_ratio,js_files_ratio,md_files_ratio,file_type_diversity,has_security_files,has_financial_files,test_file_ratio,config_file_ratio,is_focused_pr,risk_score_raw,risk_score_norm,risk_category,risk_reason_count,has_risk_reason_many_files,has_risk_reason_touches_financial,has_risk_reason_touches_security,has_risk_reason_many_comments,has_risk_reason_title_financial,has_risk_reason_title_security,repo_binance/binance-connector-python,repo_ccxt/ccxt,repo_enigmampc/catalyst,repo_freqtrade/freqtrade,repo_quantopian/zipline,repo_stripe/stripe-python,repo_ta4j/ta4j,author_category,author_top_2pd,author_top_Dan-krm,author_top_TheCookieLab,author_top_anniel-stripe,author_top_caoilainnl,author_top_carlosmiei,author_top_dependabot,author_top_francescopeloi,author_top_helenye-stripe,author_top_jar-stripe,author_top_nimo23,author_top_other,author_top_pakrym-stripe,author_top_pcriadoperez,author_top_prathmesh-stripe,author_top_ramya-stripe,author_top_richardm-stripe,author_top_sc0Vu,author_top_stripe-openapi,author_top_ttodua,author_top_xavdid-stripe,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12
stripe/stripe-python,1566,https://github.com/stripe/stripe-python/pull/1566,closed,2025-09-05 19:19:46+00:00,,2025-10-08 13:24:15+00:00,mbroshi-stripe,0,0.0,1,6,1,1,Be explicit about async import requirements in README.md,624,0,0,1,6,1,1,0,0,0,0,0,0,0,0,0,0,none,-1.0,2025,9,4,19,0,0,786.0747222222222,134,7,7.0,5,6.0,0.0015098375816597577,0.0,0.0,0.0,0.0,0.0,0,56,8,0,0,0,89.14285714285714,medium,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,none,0,0,0,0,0,0,0,0,0,0,0,0,1,0,other,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
stripe/stripe-python,1641,https://github.com/stripe/stripe-python/pull/1641,merged,2025-10-06 13:54:23+00:00,2025-10-06 22:12:26+00:00,2025-10-06 22:12:26+00:00,mbroshi-stripe,0,0.0,3,11,0,1,Mbroshi/merge python beta,439,0,0,3,11,0,1,0,0,0,0,0,0,0,0,0,0,none,8.300833333333333,2025,10,0,13,0,1,8.300833333333333,103,11,11.0,11,11.0,0.0023726019140367623,0.0,0.0,0.0,0.0,0.0,0,25,3,0,0,0,39.90909090909091,small,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,none,0,0,0,0,0,0,0,0,0,0,0,0,1,0,other,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
stripe/stripe-python,1642,https://github.com/stripe/stripe-python/pull/1642,merged,2025-10-06 14:03:40+00:00,2025-10-06 19:19:00+00:00,2025-10-06 19:19:00+00:00,mbroshi-stripe,0,0.0,3,48,37,1,Mbroshi/merge python private preview,439,0,0,3,48,37,1,0,0,0,0,0,0,0,0,0,0,none,5.255555555555556,2025,10,0,14,0,1,5.2555555555555555,103,85,85.0,11,1.2972972972972974,0.018333742063011343,0.0,0.0,0.0,0.0,0.0,0,36,4,0,0,0,5.1647058823529415,small,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,none,0,0,0,0,0,0,0,0,0,0,0,0,1,0,other,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
stripe/stripe-python,1622,https://github.com/stripe/stripe-python/pull/1622,merged,2025-10-02 00:43:10+00:00,2025-10-06 19:16:27+00:00,2025-10-06 19:16:27+00:00,xavdid-stripe,0,6.0,6,61,22,1,Improve webhook example,272,0,0,6,61,22,1,0,0,0,0,0,0,0,0,0,0,none,114.55472222222222,2025,10,3,0,0,0,114.55472222222222,108,83,83.0,39,2.772727272727273,0.01790235989682284,0.0,6.0,0.07228915662650602,6.0,1.0,0,23,3,0,0,0,3.2771084337349397,small,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,none,0,0,0,0,0,0,0,0,0,0,0,0,1,0,xavdid-stripe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
stripe/stripe-python,1639,https://github.com/stripe/stripe-python/pull/1639,merged,2025-10-03 21:00:57+00:00,2025-10-03 21:38:15+00:00,2025-10-03 21:38:15+00:00,xavdid-stripe,0,7.0,3,8,9,1,small updates to changelog,565,0,0,3,8,9,1,0,0,0,0,0,0,0,0,0,0,none,0.6216666666666667,2025,10,4,21,0,0,0.6216666666666667,106,17,17.0,-1,0.8888888888888888,0.003666748412602269,0.0,7.0,0.4117647058823529,7.0,2.3333333333333335,0,26,4,0,0,0,33.23529411764706,medium,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,none,0,0,0,0,0,0,0,0,0,0,0,0,1,0,xavdid-stripe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
stripe/stripe-python,1638,https://github.com/stripe/stripe-python/pull/1638,merged,2025-10-03 20:25:45+00:00,2025-10-03 20:29:03+00:00,2025-10-03 20:29:03+00:00,jar-stripe,0,0.0,8,3595,119,28,Merge python-private-preview,478,0,0,8,3595,119,28,0,0,0,24,0,0,2,0,0,1,many_files,0.055,2025,10,4,20,0,0,0.055,106,3714,132.64285714285714,3476,30.210084033613445,0.8010766826120486,0.0,0.0,0.0,0.0,0.0,0,28,2,0,0,0,0.12870220786214323,small,0.9230769230769231,0.0,0.0,0.07692307692307693,2,0,0,0.0,0.0,0,0,0.0,none,1,1,0,0,0,0,0,0,0,0,0,0,1,0,jar-stripe,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
stripe/stripe-python,1637,https://github.com/stripe/stripe-python/pull/1637,merged,2025-10-03 20:13:29+00:00,2025-10-03 20:16:32+00:00,2025-10-03 20:16:32+00:00,jar-stripe,0,0.0,8,3558,82,28,Merge python-beta into patch branch,326,0,0,8,3558,82,28,0,0,0,24,0,0,2,0,0,1,many_files,0.0508333333333333,2025,10,4,20,0,0,0.050833333333333335,106,3640,130.0,3476,43.390243902439025,0.785115542463074,0.0,0.0,0.0,0.0,0.0,0,35,5,0,0,0,0.08956043956043956,small,0.9230769230769231,0.0,0.0,0.07692307692307693,2,0,0,0.0,0.0,0,0,0.0,none,1,1,0,0,0,0,0,0,0,0,0,0,1,0,jar-stripe,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
stripe/stripe-python,1635,https://github.com/stripe/stripe-python/pull/1635,merged,2025-10-03 17:59:07+00:00,2025-10-03 19:01:47+00:00,2025-10-03 19:01:47+00:00,xavdid-stripe,0,0.0,3,18,21,3,Merge to private-preview,428,0,0,3,18,21,3,0,0,0,0,0,0,1,0,0,0,none,1.0444444444444445,2025,10,4,17,0,1,1.0444444444444445,106,39,13.0,-3,0.8571428571428571,0.008411952240675792,0.0,0.0,0.0,0.0,0.0,0,24,3,0,0,0,10.974358974358974,small,0.0,0.0,0.0,1.0,1,0,0,0.0,0.0,1,0,0.0,none,0,0,0,0,0,0,0,0,0,0,0,0,1,0,xavdid-stripe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
stripe/stripe-python,1634,https://github.com/stripe/stripe-python/pull/1634,merged,2025-10-03 17:58:08+00:00,2025-10-03 18:27:48+00:00,2025-10-03 18:27:48+00:00,xavdid-stripe,0,0.0,3,18,21,3,Merge to beta,428,0,0,3,18,21,3,0,0,0,0,0,0,1,0,0,0,none,0.4944444444444444,2025,10,4,17,0,1,0.49444444444444446,106,39,13.0,-3,0.8571428571428571,0.008411952240675792,0.0,0.0,0.0,0.0,0.0,0,13,3,0,0,0,10.974358974358974,small,0.0,0.0,0.0,1.0,1,0,0,0.0,0.0,1,0,0.0,none,0,0,0,0,0,0,0,0,0,0,0,0,1,0,xavdid-stripe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
stripe/stripe-python,1633,https://github.com/stripe/stripe-python/pull/1633,merged,2025-10-03 17:45:32+00:00,2025-10-03 17:57:00+00:00,2025-10-03 17:57:00+00:00,xavdid-stripe,2,0.0,2,16,8,2,add httpx to optional deps and only ship tests in sdist,1050,0,0,2,16,8,2,0,0,0,0,0,0,1,0,0,0,none,0.1911111111111111,2025,10,4,17,0,1,0.19111111111111112,106,24,12.0,8,2.0,0.005176585994262026,0.0,2.0,0.08333333333333333,1.0,1.0,0,55,11,1,0,0,43.75,large,0.0,0.0,0.0,1.0,1,0,0,0.0,0.0,1,0,0.0,none,0,0,0,0,0,0,0,0,0,0,0,0,1,0,xavdid-stripe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
stripe/stripe-python,1632,https://github.com/stripe/stripe-python/pull/1632,merged,2025-10-03 17:29:38+00:00,2025-10-03 17:42:31+00:00,2025-10-03 17:42:31+00:00,xavdid-stripe,0,0.0,1,2,13,1,remove gpg step from publish,988,0,0,1,2,13,1,0,0,0,0,0,0,0,0,0,0,none,0.2147222222222222,2025,10,4,17,0,1,0.21472222222222223,106,15,15.0,-11,0.15384615384615385,0.0032353662464137665,0.0,0.0,0.0,0.0,0.0,0,28,5,0,0,0,65.86666666666666,medium,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,none,0,0,0,0,0,0,0,0,0,0,0,0,1,0,xavdid-stripe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
stripe/stripe-python,1630,https://github.com/stripe/stripe-python/pull/1630,merged,2025-10-02 22:16:08+00:00,2025-10-02 22:27:59+00:00,2025-10-02 22:27:59+00:00,helenye-stripe,0,0.0,4,5060,5,30,Merge master changes to beta,428,0,0,4,5060,5,30,0,0,0,29,0,0,0,0,3,1,"touches_financial, many_files",0.1975,2025,10,3,22,0,0,0.1975,107,5065,168.83333333333334,5055,1012.0,1.0924753358723818,0.0,0.0,0.0,0.0,0.0,0,28,5,0,0,0,0.08450148075024679,small,1.0,0.0,0.0,0.0,1,0,1,0.0,0.0,1,3,2.73,low,2,1,1,0,0,0,0,0,0,0,0,0,1,0,helenye-stripe,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
stripe/stripe-python,1631,https://github.com/stripe/stripe-python/pull/1631,merged,2025-10-02 22:18:57+00:00,2025-10-02 22:27:55+00:00,2025-10-02 22:27:55+00:00,helenye-stripe,0,0.0,4,5144,5,32,Merge master changes to private-preview,428,0,0,4,5144,5,32,0,0,0,29,0,0,0,0,2,1,"touches_financial, many_files",0.1494444444444444,2025,10,3,22,0,0,0.14944444444444444,107,5149,160.90625,5139,1028.8,1.110593386852299,0.0,0.0,0.0,0.0,0.0,0,39,5,0,0,0,0.08312293649252282,small,1.0,0.0,0.0,0.0,1,0,1,0.0,0.0,1,3,2.73,low,2,1,1,0,0,0,0,0,0,0,0,0,1,0,helenye-stripe,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
